hour,day_of_week,weather,vehicle_count
6,1,rainy,10
19,3,cloudy,26
14,5,cloudy,24
10,6,cloudy,21
7,1,cloudy,33
20,3,cloudy,20
6,5,sunny,19
18,5,cloudy,30
22,1,cloudy,25
10,6,sunny,32
10,4,sunny,22
23,4,sunny,18
20,5,sunny,22
3,4,sunny,22
7,0,sunny,30
23,5,cloudy,16
2,5,cloudy,30
21,3,rainy,21
20,4,cloudy,23
1,6,cloudy,19
23,5,sunny,21
11,6,sunny,15
5,0,cloudy,27
1,3,rainy,13
20,1,sunny,31
0,6,cloudy,34
11,5,cloudy,20
21,0,rainy,11
11,2,rainy,17
16,0,sunny,11
9,0,rainy,22
15,3,cloudy,17
14,1,cloudy,29
14,2,rainy,15
18,4,rainy,23
11,4,rainy,11
22,6,rainy,24
19,0,sunny,27
2,3,rainy,14
4,3,sunny,16
18,4,cloudy,22
6,6,rainy,15
20,6,sunny,22
8,6,rainy,28
6,2,cloudy,18
17,1,cloudy,29
3,2,cloudy,17
13,5,rainy,26
17,5,rainy,34
8,1,sunny,29
20,4,cloudy,21
1,1,rainy,13
19,3,cloudy,15
14,5,cloudy,25
6,0,sunny,21
11,0,sunny,11
7,4,sunny,32
14,3,sunny,18
2,2,cloudy,21
13,3,sunny,18
16,0,sunny,26
3,0,sunny,21
17,5,sunny,40
7,3,cloudy,35
3,3,sunny,14
1,0,cloudy,16
5,2,rainy,17
21,4,cloudy,18
9,6,cloudy,33
3,4,sunny,26
21,3,rainy,13
17,4,rainy,20
11,0,rainy,10
1,0,rainy,25
9,3,cloudy,29
3,3,rainy,8
13,6,cloudy,16
15,6,cloudy,21
14,5,cloudy,24
7,3,rainy,29
13,2,sunny,24
22,4,sunny,19
7,3,rainy,22
20,1,sunny,21
15,5,sunny,16
12,1,cloudy,29
17,0,cloudy,33
14,6,rainy,24
20,4,rainy,9
23,3,sunny,26
12,1,cloudy,17
8,4,rainy,20
14,0,rainy,14
12,6,rainy,19
0,2,rainy,9
6,5,rainy,15
8,4,rainy,20
23,4,sunny,15
0,2,cloudy,18
11,4,cloudy,13
7,0,rainy,21
23,0,cloudy,25
10,2,cloudy,24
18,5,cloudy,29
16,3,rainy,19
7,1,rainy,15
2,3,cloudy,32
2,4,cloudy,26
0,1,rainy,12
4,2,sunny,21
9,2,cloudy,22
6,5,sunny,25
8,1,cloudy,29
6,0,sunny,15
8,1,sunny,27
7,4,sunny,27
11,0,rainy,9
1,6,sunny,20
0,6,sunny,17
15,6,sunny,29
22,2,cloudy,15
22,1,sunny,13
23,6,cloudy,29
4,3,sunny,21
2,5,sunny,29
11,3,rainy,19
7,6,cloudy,44
21,5,sunny,24
2,4,cloudy,12
0,3,cloudy,21
2,1,rainy,11
4,1,rainy,10
14,3,rainy,15
13,6,rainy,24
2,1,rainy,10
0,4,rainy,21
4,0,rainy,10
22,6,rainy,18
13,4,sunny,21
6,5,cloudy,23
8,4,rainy,16
14,6,rainy,24
14,5,cloudy,21
9,6,sunny,38
12,1,cloudy,13
18,0,cloudy,24
6,6,rainy,24
16,6,cloudy,26
19,1,cloudy,27
3,2,rainy,16
4,1,rainy,10
22,5,rainy,20
6,1,rainy,15
12,1,cloudy,18
14,0,cloudy,15
10,1,sunny,20
3,6,sunny,24
12,0,cloudy,17
6,3,sunny,14
18,2,cloudy,30
21,0,sunny,17
1,5,rainy,14
9,3,sunny,30
12,0,rainy,23
20,0,rainy,13
5,2,rainy,22
11,6,rainy,30
11,5,sunny,20
19,4,cloudy,30
10,4,rainy,25
22,0,sunny,19
6,1,rainy,15
0,5,sunny,16
0,3,sunny,17
19,1,sunny,32
12,1,cloudy,32
8,5,sunny,34
2,6,sunny,16
6,0,cloudy,12
5,0,cloudy,19
7,0,sunny,35
8,0,cloudy,33
4,4,rainy,17
0,0,rainy,21
18,4,cloudy,26
9,4,cloudy,30
11,6,sunny,22
23,0,cloudy,18
14,2,sunny,14
21,3,rainy,13
23,1,cloudy,19
8,4,sunny,28
19,5,sunny,34
16,5,rainy,22
16,3,cloudy,26
19,5,rainy,36
11,2,sunny,23
6,5,sunny,18
1,1,cloudy,18
2,1,sunny,18
16,4,cloudy,16
4,0,rainy,16
16,6,cloudy,17
23,2,cloudy,28
16,4,sunny,25
16,2,sunny,22
1,0,cloudy,19
1,5,sunny,31
21,5,sunny,28
22,6,sunny,30
4,0,cloudy,19
0,4,sunny,28
0,6,cloudy,30
18,0,sunny,32
1,3,rainy,21
20,1,sunny,17
11,6,sunny,19
5,6,cloudy,26
22,4,cloudy,19
3,2,sunny,19
22,3,rainy,21
10,4,sunny,20
23,0,sunny,21
16,0,rainy,13
5,0,cloudy,24
23,0,sunny,23
4,2,cloudy,24
19,3,cloudy,27
1,5,rainy,26
5,1,rainy,24
21,2,cloudy,24
10,2,sunny,15
15,5,cloudy,20
15,5,sunny,23
0,1,sunny,17
8,1,rainy,24
5,5,sunny,28
15,0,sunny,21
2,2,cloudy,21
19,4,rainy,23
3,1,sunny,19
18,1,sunny,33
2,5,rainy,9
18,3,cloudy,29
19,4,rainy,26
