hour,is_weekend,weather,road_type,avg_speed,cars,motorcycles,buses,trucks,total_vehicles
4,0,Clear,Urban,75,3,1,0,2,12
12,0,Clear,Highway,63,18,14,2,3,38
21,1,Clear,Suburban,85,10,9,2,4,18
2,0,Rain,Urban,70,8,2,0,2,8
0,0,Fog,Highway,68,11,4,0,2,5
15,1,Clear,Urban,62,13,8,4,3,22
12,0,Rain,Urban,78,18,7,1,3,19
14,0,Clear,Suburban,78,12,9,2,3,32
7,0,Fog,Suburban,51,55,14,7,4,58
11,0,Clear,Urban,72,26,5,2,4,35
8,1,Clear,Urban,55,38,23,5,2,45
22,0,Clear,Suburban,85,27,12,1,4,33
4,1,Fog,Urban,69,5,4,0,2,7
11,0,Rain,Urban,63,19,14,4,3,17
1,0,Clear,Suburban,68,7,4,0,2,7
2,0,Clear,Urban,60,9,4,1,2,11
14,0,Clear,Urban,66,20,6,2,4,33
14,1,Rain,Urban,69,9,8,2,3,12
1,0,Clear,Highway,64,8,1,0,1,8
4,0,Clear,Urban,89,9,3,1,1,17
20,0,Clear,Highway,68,20,6,2,3,29
19,0,Clear,Highway,54,41,20,3,4,52
11,1,Clear,Urban,80,12,14,3,3,30
12,0,Clear,Urban,53,24,6,3,2,48
2,1,Clear,Urban,68,2,3,0,1,6
12,1,Clear,Suburban,60,14,12,2,2,34
11,0,Fog,Urban,60,13,11,4,2,22
1,0,Clear,Suburban,68,8,1,1,2,18
4,0,Clear,Urban,85,8,1,0,1,17
9,0,Clear,Suburban,50,49,24,7,6,55
9,1,Clear,Highway,75,47,12,5,4,35
15,0,Clear,Suburban,88,24,9,2,2,26
16,0,Clear,Highway,74,26,13,2,2,37
4,0,Clear,Suburban,66,7,2,0,1,8
1,0,Clear,Suburban,80,9,1,1,2,17
7,0,Rain,Suburban,32,55,21,6,3,73
12,0,Clear,Highway,76,25,9,3,3,21
12,1,Clear,Highway,68,20,5,3,3,14
7,1,Rain,Suburban,52,36,23,6,3,42
16,1,Clear,Suburban,83,12,12,3,2,14
21,0,Clear,Highway,41,28,5,2,3,43
17,1,Clear,Urban,49,44,15,7,4,58
